"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","Units",,,753.49,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","Units",,,761.09,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","Units",,,768.79,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","Units",,,776.59,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2013","2013","RATIO","Ratio","0","Units",,,784.5,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2014","2014","RATIO","Ratio","0","Units",,,792.51,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2000","2000","PER","Persons","0","Units",,,987559,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,993909,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,1000315,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,1006786,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,1013312,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2005","2005","PER","Persons","0","Units",,,1019896,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2006","2006","PER","Persons","0","Units",,,1026538,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2007","2007","PER","Persons","0","Units",,,1033248,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2008","2008","PER","Persons","0","Units",,,1040008,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2009","2009","PER","Persons","0","Units",,,1046834,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2010","2010","PER","Persons","0","Units",,,1053725,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2011","2011","PER","Persons","0","Units",,,1060675,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2012","2012","PER","Persons","0","Units",,,1067688,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2013","2013","PER","Persons","0","Units",,,1074765,,
"BE002","Antwerp","POP","Total population of the metropolitan area (persons)","2014","2014","PER","Persons","0","Units",,,1081904,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2000","2000","PC","Percentage","0","Units",,,9.64,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2001","2001","PC","Percentage","0","Units",,,9.68,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2002","2002","PC","Percentage","0","Units",,,9.7,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2003","2003","PC","Percentage","0","Units",,,9.72,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2004","2004","PC","Percentage","0","Units",,,9.75,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2005","2005","PC","Percentage","0","Units",,,9.76,,
